id,first_name,last_name,gender,date_of_birth,height,weight
83-4333777,Micah,Hurnell,Male,10-23-2013,196,62
70-3858607,Willy,Grishinov,Female,02-23-1978,192,45
20-6720214,Zaria,Verden,Female,02-03-1960,176,97
77-7416660,Quintin,Stockau,Male,06-18-1954,173,92
08-0899676,Alexandrina,Caplis,Female,05-09-1986,169,125
10-6055992,Curt,Kaes,Male,04-06-1951,169,64
94-8986764,Opal,Ferneyhough,Female,11-17-1967,150,63
95-7180012,Roanna,Butner,Female,07-23-2010,206,53
26-0502625,Judah,Kristiansen,Male,12-07-2017,200,54
96-9607038,Henriette,Manvell,Female,04-02-1984,176,125
35-6976797,Siegfried,Panketh,Male,09-06-1949,160,99
14-2020620,Ignazio,Liepins,Male,08-18-1978,178,54
51-2132156,Kimble,Di Dello,Male,11-06-1950,194,50
27-7849869,Domini,Nolot,Female,06-22-1995,201,121
41-9447194,Felic,Spaule,Male,03-30-1981,184,49
97-3553794,Milt,Figg,Male,07-30-1957,190,46
28-1225521,Matilde,Montez,Female,09-22-1967,190,150
49-5814574,Jeremiah,Austins,Male,07-18-1988,178,66
53-0704285,Granny,Clatworthy,Male,06-12-2018,164,134
77-0516409,Therine,Ege,Female,03-29-1987,157,140
84-4320098,Olag,Prahl,Male,09-03-1962,149,64
97-3314654,Suellen,Fidell,Female,11-30-1954,182,141
02-7895135,Paulie,Jeffcoate,Female,09-09-1994,205,142
87-5300316,Lynett,Ferries,Female,05-23-2002,166,84
12-5915198,Porter,Houlworth,Male,07-19-2005,192,64
80-0047204,Felipa,Stoffersen,Female,02-27-1988,156,80
60-4220049,Tiphanie,Esler,Female,03-07-1994,160,132
58-7078425,Elizabet,Olijve,Female,05-21-2017,171,63
84-0544200,Ingeborg,Labro,Female,06-29-1946,180,139
34-4988981,Josephine,Fawdrie,Female,05-25-1994,210,107
60-5781526,Denver,Creer,Male,02-19-2012,149,61
03-2329901,Alexandra,Semeradova,Female,11-12-1949,158,95
59-0482263,Link,Synder,Male,01-11-1954,176,63
71-9454088,Clair,Hussy,Female,03-05-2004,155,54
43-0736239,Tomkin,Keoghan,Male,10-17-1979,209,87
46-1937883,Janot,Seamon,Female,10-29-1962,155,65
22-7578753,Loralyn,Benettolo,Female,07-01-1970,180,86
92-6007908,Lutero,Rubinfeld,Male,05-06-2015,203,50
77-9874899,Becki,Robel,Female,10-04-1966,146,80
21-8491588,Wash,Reiach,Male,11-09-1946,152,79
97-1669018,Carlina,Storr,Female,02-07-1997,173,110
12-8772619,Enriqueta,Baxter,Female,05-10-2004,193,69
57-7636423,Katrinka,Bissill,Female,10-09-2008,172,53
28-9247993,Abigale,Dicker,Female,12-23-1987,146,91
